timestamp,time_label,src_node,dst_node,src_name,dst_name,src_poi,dst_poi,travel_time_s,free_flow_time_s,traffic_delay_s,length_m,congestion_ratio
2026-05-09 22:34:53,normal,v01,v02,Bến Thành,Điện Biên Phủ - Hai BT,commercial,arterial,499,499,0,2676,1.0
2026-05-09 22:34:53,normal,v01,v03,Bến Thành,Vòng xoay Dân Chủ,commercial,roundabout,249,249,0,1506,1.0
2026-05-09 22:34:53,normal,v01,v04,Bến Thành,Lê Văn Sỹ - N.Đ.Chiểu,commercial,residential,455,455,0,2334,1.0
2026-05-09 22:34:53,normal,v01,v05,Bến Thành,CMT8 - Điện Biên Phủ,commercial,arterial,453,453,0,2512,1.0
2026-05-09 22:34:53,normal,v01,v06,Bến Thành,Cầu Sài Gòn,commercial,bridge,894,894,0,6310,1.0
2026-05-09 22:34:53,normal,v01,v07,Bến Thành,Nguyễn Huệ - Lê Lợi,commercial,commercial,339,339,0,1547,1.0
2026-05-09 22:34:53,normal,v01,v08,Bến Thành,Hàm Nghi - Tôn Đức Thắng,commercial,commercial,322,322,0,1453,1.0
2026-05-09 22:34:53,normal,v01,v09,Bến Thành,Võ Văn Tần - Nam Kỳ KN,commercial,residential,300,300,0,1658,1.0
2026-05-09 22:34:53,normal,v01,v10,Bến Thành,Pasteur - Lê Duẩn,commercial,mixed,312,312,0,1816,1.0
2026-05-09 22:34:53,normal,v02,v01,Điện Biên Phủ - Hai BT,Bến Thành,arterial,commercial,433,433,0,2305,1.0
2026-05-09 22:34:53,normal,v02,v03,Điện Biên Phủ - Hai BT,Vòng xoay Dân Chủ,arterial,roundabout,291,291,0,1414,1.0
2026-05-09 22:34:53,normal,v02,v04,Điện Biên Phủ - Hai BT,Lê Văn Sỹ - N.Đ.Chiểu,arterial,residential,114,114,0,531,1.0
2026-05-09 22:34:53,normal,v02,v05,Điện Biên Phủ - Hai BT,CMT8 - Điện Biên Phủ,arterial,arterial,255,255,0,1448,1.0
2026-05-09 22:34:53,normal,v02,v06,Điện Biên Phủ - Hai BT,Cầu Sài Gòn,arterial,bridge,525,525,0,4405,1.0
2026-05-09 22:34:53,normal,v02,v07,Điện Biên Phủ - Hai BT,Nguyễn Huệ - Lê Lợi,arterial,commercial,472,472,0,2276,1.0
2026-05-09 22:34:53,normal,v02,v08,Điện Biên Phủ - Hai BT,Hàm Nghi - Tôn Đức Thắng,arterial,commercial,544,544,0,2507,1.0
2026-05-09 22:34:53,normal,v02,v09,Điện Biên Phủ - Hai BT,Võ Văn Tần - Nam Kỳ KN,arterial,residential,232,232,0,1274,1.0
2026-05-09 22:34:53,normal,v02,v10,Điện Biên Phủ - Hai BT,Pasteur - Lê Duẩn,arterial,mixed,247,247,0,1217,1.0
2026-05-09 22:34:53,normal,v03,v01,Vòng xoay Dân Chủ,Bến Thành,roundabout,commercial,297,297,0,1528,1.0
2026-05-09 22:34:53,normal,v03,v02,Vòng xoay Dân Chủ,Điện Biên Phủ - Hai BT,roundabout,arterial,251,251,0,1170,1.0
2026-05-09 22:34:53,normal,v03,v04,Vòng xoay Dân Chủ,Lê Văn Sỹ - N.Đ.Chiểu,roundabout,residential,216,216,0,1074,1.0
2026-05-09 22:34:53,normal,v03,v05,Vòng xoay Dân Chủ,CMT8 - Điện Biên Phủ,roundabout,arterial,358,358,0,1991,1.0
2026-05-09 22:34:53,normal,v03,v06,Vòng xoay Dân Chủ,Cầu Sài Gòn,roundabout,bridge,653,653,0,4543,1.0
2026-05-09 22:34:53,normal,v03,v07,Vòng xoay Dân Chủ,Nguyễn Huệ - Lê Lợi,roundabout,commercial,330,330,0,1487,1.0
2026-05-09 22:34:53,normal,v03,v08,Vòng xoay Dân Chủ,Hàm Nghi - Tôn Đức Thắng,roundabout,commercial,402,402,0,1718,1.0
2026-05-09 22:34:53,normal,v03,v09,Vòng xoay Dân Chủ,Võ Văn Tần - Nam Kỳ KN,roundabout,residential,158,158,0,756,1.0
2026-05-09 22:34:53,normal,v03,v10,Vòng xoay Dân Chủ,Pasteur - Lê Duẩn,roundabout,mixed,63,63,0,311,1.0
2026-05-09 22:34:53,normal,v04,v01,Lê Văn Sỹ - N.Đ.Chiểu,Bến Thành,residential,commercial,414,414,0,2187,1.0
2026-05-09 22:34:53,normal,v04,v02,Lê Văn Sỹ - N.Đ.Chiểu,Điện Biên Phủ - Hai BT,residential,arterial,263,263,0,1215,1.0
2026-05-09 22:34:53,normal,v04,v03,Lê Văn Sỹ - N.Đ.Chiểu,Vòng xoay Dân Chủ,residential,roundabout,262,262,0,1294,1.0
2026-05-09 22:34:53,normal,v04,v05,Lê Văn Sỹ - N.Đ.Chiểu,CMT8 - Điện Biên Phủ,residential,arterial,142,142,0,917,1.0
2026-05-09 22:34:53,normal,v04,v06,Lê Văn Sỹ - N.Đ.Chiểu,Cầu Sài Gòn,residential,bridge,685,685,0,5233,1.0
2026-05-09 22:34:53,normal,v04,v07,Lê Văn Sỹ - N.Đ.Chiểu,Nguyễn Huệ - Lê Lợi,residential,commercial,535,535,0,2636,1.0
2026-05-09 22:34:53,normal,v04,v08,Lê Văn Sỹ - N.Đ.Chiểu,Hàm Nghi - Tôn Đức Thắng,residential,commercial,544,544,0,2724,1.0
2026-05-09 22:34:53,normal,v04,v09,Lê Văn Sỹ - N.Đ.Chiểu,Võ Văn Tần - Nam Kỳ KN,residential,residential,169,169,0,823,1.0
2026-05-09 22:34:53,normal,v04,v10,Lê Văn Sỹ - N.Đ.Chiểu,Pasteur - Lê Duẩn,residential,mixed,326,326,0,1604,1.0
2026-05-09 22:34:53,normal,v05,v01,CMT8 - Điện Biên Phủ,Bến Thành,arterial,commercial,471,471,0,2662,1.0
2026-05-09 22:34:53,normal,v05,v02,CMT8 - Điện Biên Phủ,Điện Biên Phủ - Hai BT,arterial,arterial,225,225,0,1294,1.0
2026-05-09 22:34:53,normal,v05,v03,CMT8 - Điện Biên Phủ,Vòng xoay Dân Chủ,arterial,roundabout,329,329,0,1772,1.0
2026-05-09 22:34:53,normal,v05,v04,CMT8 - Điện Biên Phủ,Lê Văn Sỹ - N.Đ.Chiểu,arterial,residential,269,269,0,1305,1.0
2026-05-09 22:34:53,normal,v05,v06,CMT8 - Điện Biên Phủ,Cầu Sài Gòn,arterial,bridge,750,750,0,5699,1.0
2026-05-09 22:34:53,normal,v05,v07,CMT8 - Điện Biên Phủ,Nguyễn Huệ - Lê Lợi,arterial,commercial,592,592,0,3111,1.0
2026-05-09 22:34:53,normal,v05,v08,CMT8 - Điện Biên Phủ,Hàm Nghi - Tôn Đức Thắng,arterial,commercial,601,601,0,3199,1.0
2026-05-09 22:34:53,normal,v05,v09,CMT8 - Điện Biên Phủ,Võ Văn Tần - Nam Kỳ KN,arterial,residential,288,288,0,1631,1.0
2026-05-09 22:34:53,normal,v05,v10,CMT8 - Điện Biên Phủ,Pasteur - Lê Duẩn,arterial,mixed,392,392,0,2082,1.0
2026-05-09 22:34:53,normal,v06,v01,Cầu Sài Gòn,Bến Thành,bridge,commercial,869,869,0,5519,1.0
2026-05-09 22:34:53,normal,v06,v02,Cầu Sài Gòn,Điện Biên Phủ - Hai BT,bridge,arterial,589,589,0,4972,1.0
2026-05-09 22:34:53,normal,v06,v03,Cầu Sài Gòn,Vòng xoay Dân Chủ,bridge,roundabout,834,834,0,5916,1.0
2026-05-09 22:34:53,normal,v06,v04,Cầu Sài Gòn,Lê Văn Sỹ - N.Đ.Chiểu,bridge,residential,653,653,0,5393,1.0
2026-05-09 22:34:53,normal,v06,v05,Cầu Sài Gòn,CMT8 - Điện Biên Phủ,bridge,arterial,795,795,0,6311,1.0
2026-05-09 22:34:53,normal,v06,v07,Cầu Sài Gòn,Nguyễn Huệ - Lê Lợi,bridge,commercial,890,890,0,5580,1.0
